propensity_decile,users,avg_predicted_prob,actual_activation_rate
1,20813,0.0071416627333831416,0.00014414068130495355
2,20813,0.0071416627333831416,0.0
3,20813,0.0071416627333831416,0.0
4,20812,0.0071416627333831416,0.0
5,20812,0.0083696588049979957,4.8049202383240422e-05
6,20812,0.010420767651540227,0.0
7,20812,0.010420767651540227,4.8049202383240416e-05
8,20812,0.01510384607987538,0.00096098404766480842
9,20812,0.12157169184041486,0.089755910051893179
10,20812,0.38420866004811283,0.40164328272150684
