user_pseudo_id,first_date,segment_72h,search_72h,view_item_72h,scroll_72h,add_to_cart_72h,begin_checkout_72h,purchase_72h,sessions_72h,view_item_events_72h,retained_post72h_d30
1246063.3665874179,2021-01-01,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
1275797.1936238018,2021-01-01,low_engagement_72h,0,0,1,0,0,0,1,0,0
1320187.6719997668,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
1543004.7243225422,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
1564015.6880680172,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
1619900.3195973863,2021-01-01,low_engagement_72h,0,0,1,0,0,0,2,0,0
1693134.9790437518,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
1961265.4757052307,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
2194957.7885097322,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
2304235.4728947355,2021-01-01,low_engagement_72h,0,0,1,0,0,0,2,0,0
2378480.6534474606,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
2655279.4923479690,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
2719657.8629194725,2021-01-01,product_viewer_scroll_72h,0,1,1,0,0,0,2,1,0
2839647.6325562515,2021-01-01,low_engagement_72h,0,0,1,0,0,0,1,0,0
2882177.0250975565,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
2893808.1269182675,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
2910024.9071648144,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
2973917.2072647263,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3053669.9263927930,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3092109.1666656387,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3205524.3451816980,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3215534.5876119688,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3443159.5753502239,2021-01-01,low_engagement_72h,0,0,1,0,0,0,1,0,0
3523344.6297511777,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3579468.5263792709,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3667557.2872148911,2020-12-31,low_engagement_72h,0,0,0,0,0,0,2,0,0
3673006.6755990977,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3713991.3047862844,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3725551.0372089331,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
3915359.4960090701,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
4157332.9647976559,2021-01-01,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
4264631.0635133896,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
4471894.7657502115,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
4529800.4125571262,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
4568963.3278246884,2021-01-01,low_engagement_72h,0,0,0,0,0,0,1,0,0
4617235.8469402346,2021-01-01,searcher_only_72h,1,0,0,0,0,0,1,0,0
4626089.7083106102,2021-01-01,product_viewer_scroll_72h,1,1,1,0,0,0,1,13,0
4680084.8306409654,2021-01-01,low_engagement_72h,0,0,1,0,0,0,1,0,0
